"","year","state","state_po","county_name","county_fips","office","candidate","party","candidatevotes","totalvotes","version","mode"
"1",2000,"NEW MEXICO","NM","BERNALILLO","35001","PRESIDENT","AL GORE","DEMOCRAT",99461,204319,20191203,"TOTAL"
"2",2000,"NEW MEXICO","NM","BERNALILLO","35001","PRESIDENT","GEORGE W. BUSH","REPUBLICAN",95249,204319,20191203,"TOTAL"
"3",2000,"NEW MEXICO","NM","BERNALILLO","35001","PRESIDENT","RALPH NADER","GREEN",8274,204319,20191203,"TOTAL"
"4",2000,"NEW MEXICO","NM","BERNALILLO","35001","PRESIDENT","OTHER","OTHER",1335,204319,20191203,"TOTAL"
"5",2000,"NEW MEXICO","NM","CATRON","35003","PRESIDENT","AL GORE","DEMOCRAT",353,1711,20191203,"TOTAL"
"6",2000,"NEW MEXICO","NM","CATRON","35003","PRESIDENT","GEORGE W. BUSH","REPUBLICAN",1273,1711,20191203,"TOTAL"
"7",2000,"NEW MEXICO","NM","CATRON","35003","PRESIDENT","RALPH NADER","GREEN",57,1711,20191203,"TOTAL"
"8",2000,"NEW MEXICO","NM","CATRON","35003","PRESIDENT","OTHER","OTHER",28,1711,20191203,"TOTAL"
"9",2000,"NEW MEXICO","NM","CHAVES","35005","PRESIDENT","AL GORE","DEMOCRAT",6340,18149,20191203,"TOTAL"
"10",2000,"NEW MEXICO","NM","CHAVES","35005","PRESIDENT","GEORGE W. BUSH","REPUBLICAN",11378,18149,20191203,"TOTAL"
"11",2000,"NEW MEXICO","NM","CHAVES","35005","PRESIDENT","RALPH NADER","GREEN",307,18149,20191203,"TOTAL"
"12",2000,"NEW MEXICO","NM","CHAVES","35005","PRESIDENT","OTHER","OTHER",124,18149,20191203,"TOTAL"
"13",2000,"NEW MEXICO","NM","CIBOLA","35006","PRESIDENT","AL GORE","DEMOCRAT",4127,7088,20191203,"TOTAL"
"14",2000,"NEW MEXICO","NM","CIBOLA","35006","PRESIDENT","GEORGE W. BUSH","REPUBLICAN",2752,7088,20191203,"TOTAL"
"15",2000,"NEW MEXICO","NM","CIBOLA","35006","PRESIDENT","RALPH NADER","GREEN",164,7088,20191203,"TOTAL"
"16",2000,"NEW MEXICO","NM","CIBOLA","35006","PRESIDENT","OTHER","OTHER",45,7088,20191203,"TOTAL"
"17",2000,"NEW MEXICO","NM","COLFAX","35007","PRESIDENT","AL GORE","DEMOCRAT",2653,5461,20191203,"TOTAL"
"18",2000,"NEW MEXICO","NM","COLFAX","35007","PRESIDENT","GEORGE W. BUSH","REPUBLICAN",2600,5461,20191203,"TOTAL"
"19",2000,"NEW MEXICO","NM","COLFAX","35007","PRESIDENT","RALPH NADER","GREEN",163,5461,20191203,"TOTAL"
"20",2000,"NEW MEXICO","NM","COLFAX","35007","PRESIDENT","OTHER","OTHER",45,5461,20191203,"TOTAL"
"21",2000,"NEW MEXICO","NM","CURRY","35009","PRESIDENT","AL GORE","DEMOCRAT",3471,11969,20191203,"TOTAL"
"22",2000,"NEW MEXICO","NM","CURRY","35009","PRESIDENT","GEORGE W. BUSH","REPUBLICAN",8301,11969,20191203,"TOTAL"
"23",2000,"NEW MEXICO","NM","CURRY","35009","PRESIDENT","RALPH NADER","GREEN",147,11969,20191203,"TOTAL"
"24",2000,"NEW MEXICO","NM","CURRY","35009","PRESIDENT","OTHER","OTHER",50,11969,20191203,"TOTAL"
"25",2000,"NEW MEXICO","NM","DE BACA","35011","PRESIDENT","AL GORE","DEMOCRAT",349,982,20191203,"TOTAL"
"26",2000,"NEW MEXICO","NM","DE BACA","35011","PRESIDENT","GEORGE W. BUSH","REPUBLICAN",612,982,20191203,"TOTAL"
"27",2000,"NEW MEXICO","NM","DE BACA","35011","PRESIDENT","RALPH NADER","GREEN",12,982,20191203,"TOTAL"
"28",2000,"NEW MEXICO","NM","DE BACA","35011","PRESIDENT","OTHER","OTHER",9,982,20191203,"TOTAL"
"29",2000,"NEW MEXICO","NM","DONA ANA","35013","PRESIDENT","AL GORE","DEMOCRAT",23912,46653,20191203,"TOTAL"
"30",2000,"NEW MEXICO","NM","DONA ANA","35013","PRESIDENT","GEORGE W. BUSH","REPUBLICAN",21263,46653,20191203,"TOTAL"
"31",2000,"NEW MEXICO","NM","DONA ANA","35013","PRESIDENT","RALPH NADER","GREEN",1158,46653,20191203,"TOTAL"
"32",2000,"NEW MEXICO","NM","DONA ANA","35013","PRESIDENT","OTHER","OTHER",320,46653,20191203,"TOTAL"
"33",2000,"NEW MEXICO","NM","EDDY","35015","PRESIDENT","AL GORE","DEMOCRAT",7108,17787,20191203,"TOTAL"
"34",2000,"NEW MEXICO","NM","EDDY","35015","PRESIDENT","GEORGE W. BUSH","REPUBLICAN",10335,17787,20191203,"TOTAL"
"35",2000,"NEW MEXICO","NM","EDDY","35015","PRESIDENT","RALPH NADER","GREEN",256,17787,20191203,"TOTAL"
"36",2000,"NEW MEXICO","NM","EDDY","35015","PRESIDENT","OTHER","OTHER",88,17787,20191203,"TOTAL"
"37",2000,"NEW MEXICO","NM","GRANT","35017","PRESIDENT","AL GORE","DEMOCRAT",5673,11241,20191203,"TOTAL"
"38",2000,"NEW MEXICO","NM","GRANT","35017","PRESIDENT","GEORGE W. BUSH","REPUBLICAN",4961,11241,20191203,"TOTAL"
"39",2000,"NEW MEXICO","NM","GRANT","35017","PRESIDENT","RALPH NADER","GREEN",530,11241,20191203,"TOTAL"
"40",2000,"NEW MEXICO","NM","GRANT","35017","PRESIDENT","OTHER","OTHER",77,11241,20191203,"TOTAL"
"41",2000,"NEW MEXICO","NM","GUADALUPE","35019","PRESIDENT","AL GORE","DEMOCRAT",1076,1651,20191203,"TOTAL"
"42",2000,"NEW MEXICO","NM","GUADALUPE","35019","PRESIDENT","GEORGE W. BUSH","REPUBLICAN",548,1651,20191203,"TOTAL"
"43",2000,"NEW MEXICO","NM","GUADALUPE","35019","PRESIDENT","RALPH NADER","GREEN",24,1651,20191203,"TOTAL"
"44",2000,"NEW MEXICO","NM","GUADALUPE","35019","PRESIDENT","OTHER","OTHER",3,1651,20191203,"TOTAL"
"45",2000,"NEW MEXICO","NM","HARDING","35021","PRESIDENT","AL GORE","DEMOCRAT",214,593,20191203,"TOTAL"
"46",2000,"NEW MEXICO","NM","HARDING","35021","PRESIDENT","GEORGE W. BUSH","REPUBLICAN",366,593,20191203,"TOTAL"
"47",2000,"NEW MEXICO","NM","HARDING","35021","PRESIDENT","RALPH NADER","GREEN",9,593,20191203,"TOTAL"
"48",2000,"NEW MEXICO","NM","HARDING","35021","PRESIDENT","OTHER","OTHER",4,593,20191203,"TOTAL"
"49",2000,"NEW MEXICO","NM","HIDALGO","35023","PRESIDENT","AL GORE","DEMOCRAT",839,1834,20191203,"TOTAL"
"50",2000,"NEW MEXICO","NM","HIDALGO","35023","PRESIDENT","GEORGE W. BUSH","REPUBLICAN",954,1834,20191203,"TOTAL"
"51",2000,"NEW MEXICO","NM","HIDALGO","35023","PRESIDENT","RALPH NADER","GREEN",28,1834,20191203,"TOTAL"
"52",2000,"NEW MEXICO","NM","HIDALGO","35023","PRESIDENT","OTHER","OTHER",13,1834,20191203,"TOTAL"
"53",2000,"NEW MEXICO","NM","LEA","35025","PRESIDENT","AL GORE","DEMOCRAT",3855,14256,20191203,"TOTAL"
"54",2000,"NEW MEXICO","NM","LEA","35025","PRESIDENT","GEORGE W. BUSH","REPUBLICAN",10157,14256,20191203,"TOTAL"
"55",2000,"NEW MEXICO","NM","LEA","35025","PRESIDENT","RALPH NADER","GREEN",169,14256,20191203,"TOTAL"
"56",2000,"NEW MEXICO","NM","LEA","35025","PRESIDENT","OTHER","OTHER",75,14256,20191203,"TOTAL"
"57",2000,"NEW MEXICO","NM","LINCOLN","35027","PRESIDENT","AL GORE","DEMOCRAT",2027,6772,20191203,"TOTAL"
"58",2000,"NEW MEXICO","NM","LINCOLN","35027","PRESIDENT","GEORGE W. BUSH","REPUBLICAN",4458,6772,20191203,"TOTAL"
"59",2000,"NEW MEXICO","NM","LINCOLN","35027","PRESIDENT","RALPH NADER","GREEN",168,6772,20191203,"TOTAL"
"60",2000,"NEW MEXICO","NM","LINCOLN","35027","PRESIDENT","OTHER","OTHER",119,6772,20191203,"TOTAL"
"61",2000,"NEW MEXICO","NM","LOS ALAMOS","35028","PRESIDENT","AL GORE","DEMOCRAT",4149,10218,20191203,"TOTAL"
"62",2000,"NEW MEXICO","NM","LOS ALAMOS","35028","PRESIDENT","GEORGE W. BUSH","REPUBLICAN",5623,10218,20191203,"TOTAL"
"63",2000,"NEW MEXICO","NM","LOS ALAMOS","35028","PRESIDENT","RALPH NADER","GREEN",329,10218,20191203,"TOTAL"
"64",2000,"NEW MEXICO","NM","LOS ALAMOS","35028","PRESIDENT","OTHER","OTHER",117,10218,20191203,"TOTAL"
"65",2000,"NEW MEXICO","NM","LUNA","35029","PRESIDENT","AL GORE","DEMOCRAT",2975,6612,20191203,"TOTAL"
"66",2000,"NEW MEXICO","NM","LUNA","35029","PRESIDENT","GEORGE W. BUSH","REPUBLICAN",3395,6612,20191203,"TOTAL"
"67",2000,"NEW MEXICO","NM","LUNA","35029","PRESIDENT","RALPH NADER","GREEN",186,6612,20191203,"TOTAL"
"68",2000,"NEW MEXICO","NM","LUNA","35029","PRESIDENT","OTHER","OTHER",56,6612,20191203,"TOTAL"
"69",2000,"NEW MEXICO","NM","MCKINLEY","35031","PRESIDENT","AL GORE","DEMOCRAT",10281,15879,20191203,"TOTAL"
"70",2000,"NEW MEXICO","NM","MCKINLEY","35031","PRESIDENT","GEORGE W. BUSH","REPUBLICAN",5070,15879,20191203,"TOTAL"
"71",2000,"NEW MEXICO","NM","MCKINLEY","35031","PRESIDENT","RALPH NADER","GREEN",392,15879,20191203,"TOTAL"
"72",2000,"NEW MEXICO","NM","MCKINLEY","35031","PRESIDENT","OTHER","OTHER",136,15879,20191203,"TOTAL"
"73",2000,"NEW MEXICO","NM","MORA","35033","PRESIDENT","AL GORE","DEMOCRAT",1456,2191,20191203,"TOTAL"
"74",2000,"NEW MEXICO","NM","MORA","35033","PRESIDENT","GEORGE W. BUSH","REPUBLICAN",668,2191,20191203,"TOTAL"
"75",2000,"NEW MEXICO","NM","MORA","35033","PRESIDENT","RALPH NADER","GREEN",49,2191,20191203,"TOTAL"
"76",2000,"NEW MEXICO","NM","MORA","35033","PRESIDENT","OTHER","OTHER",18,2191,20191203,"TOTAL"
"77",2000,"NEW MEXICO","NM","OTERO","35035","PRESIDENT","AL GORE","DEMOCRAT",5465,16204,20191203,"TOTAL"
"78",2000,"NEW MEXICO","NM","OTERO","35035","PRESIDENT","GEORGE W. BUSH","REPUBLICAN",10258,16204,20191203,"TOTAL"
"79",2000,"NEW MEXICO","NM","OTERO","35035","PRESIDENT","RALPH NADER","GREEN",338,16204,20191203,"TOTAL"
"80",2000,"NEW MEXICO","NM","OTERO","35035","PRESIDENT","OTHER","OTHER",143,16204,20191203,"TOTAL"
"81",2000,"NEW MEXICO","NM","QUAY","35037","PRESIDENT","AL GORE","DEMOCRAT",1471,3844,20191203,"TOTAL"
"82",2000,"NEW MEXICO","NM","QUAY","35037","PRESIDENT","GEORGE W. BUSH","REPUBLICAN",2292,3844,20191203,"TOTAL"
"83",2000,"NEW MEXICO","NM","QUAY","35037","PRESIDENT","RALPH NADER","GREEN",51,3844,20191203,"TOTAL"
"84",2000,"NEW MEXICO","NM","QUAY","35037","PRESIDENT","OTHER","OTHER",30,3844,20191203,"TOTAL"
"85",2000,"NEW MEXICO","NM","RIO ARRIBA","35039","PRESIDENT","AL GORE","DEMOCRAT",8169,12097,20191203,"TOTAL"
"86",2000,"NEW MEXICO","NM","RIO ARRIBA","35039","PRESIDENT","GEORGE W. BUSH","REPUBLICAN",3495,12097,20191203,"TOTAL"
"87",2000,"NEW MEXICO","NM","RIO ARRIBA","35039","PRESIDENT","RALPH NADER","GREEN",377,12097,20191203,"TOTAL"
"88",2000,"NEW MEXICO","NM","RIO ARRIBA","35039","PRESIDENT","OTHER","OTHER",56,12097,20191203,"TOTAL"
"89",2000,"NEW MEXICO","NM","ROOSEVELT","35041","PRESIDENT","AL GORE","DEMOCRAT",1762,5651,20191203,"TOTAL"
"90",2000,"NEW MEXICO","NM","ROOSEVELT","35041","PRESIDENT","GEORGE W. BUSH","REPUBLICAN",3762,5651,20191203,"TOTAL"
"91",2000,"NEW MEXICO","NM","ROOSEVELT","35041","PRESIDENT","RALPH NADER","GREEN",98,5651,20191203,"TOTAL"
"92",2000,"NEW MEXICO","NM","ROOSEVELT","35041","PRESIDENT","OTHER","OTHER",29,5651,20191203,"TOTAL"
"93",2000,"NEW MEXICO","NM","SANDOVAL","35043","PRESIDENT","AL GORE","DEMOCRAT",14899,31755,20191203,"TOTAL"
"94",2000,"NEW MEXICO","NM","SANDOVAL","35043","PRESIDENT","GEORGE W. BUSH","REPUBLICAN",15423,31755,20191203,"TOTAL"
"95",2000,"NEW MEXICO","NM","SANDOVAL","35043","PRESIDENT","RALPH NADER","GREEN",1211,31755,20191203,"TOTAL"
"96",2000,"NEW MEXICO","NM","SANDOVAL","35043","PRESIDENT","OTHER","OTHER",222,31755,20191203,"TOTAL"
"97",2000,"NEW MEXICO","NM","SAN JUAN","35045","PRESIDENT","AL GORE","DEMOCRAT",11980,34657,20191203,"TOTAL"
"98",2000,"NEW MEXICO","NM","SAN JUAN","35045","PRESIDENT","GEORGE W. BUSH","REPUBLICAN",21434,34657,20191203,"TOTAL"
"99",2000,"NEW MEXICO","NM","SAN JUAN","35045","PRESIDENT","RALPH NADER","GREEN",923,34657,20191203,"TOTAL"
"100",2000,"NEW MEXICO","NM","SAN JUAN","35045","PRESIDENT","OTHER","OTHER",320,34657,20191203,"TOTAL"
"101",2000,"NEW MEXICO","NM","SAN MIGUEL","35047","PRESIDENT","AL GORE","DEMOCRAT",6540,9161,20191203,"TOTAL"
"102",2000,"NEW MEXICO","NM","SAN MIGUEL","35047","PRESIDENT","GEORGE W. BUSH","REPUBLICAN",2215,9161,20191203,"TOTAL"
"103",2000,"NEW MEXICO","NM","SAN MIGUEL","35047","PRESIDENT","RALPH NADER","GREEN",344,9161,20191203,"TOTAL"
"104",2000,"NEW MEXICO","NM","SAN MIGUEL","35047","PRESIDENT","OTHER","OTHER",62,9161,20191203,"TOTAL"
"105",2000,"NEW MEXICO","NM","SANTA FE","35049","PRESIDENT","AL GORE","DEMOCRAT",32017,49471,20191203,"TOTAL"
"106",2000,"NEW MEXICO","NM","SANTA FE","35049","PRESIDENT","GEORGE W. BUSH","REPUBLICAN",13974,49471,20191203,"TOTAL"
"107",2000,"NEW MEXICO","NM","SANTA FE","35049","PRESIDENT","RALPH NADER","GREEN",3215,49471,20191203,"TOTAL"
"108",2000,"NEW MEXICO","NM","SANTA FE","35049","PRESIDENT","OTHER","OTHER",265,49471,20191203,"TOTAL"
"109",2000,"NEW MEXICO","NM","SIERRA","35051","PRESIDENT","AL GORE","DEMOCRAT",1689,4586,20191203,"TOTAL"
"110",2000,"NEW MEXICO","NM","SIERRA","35051","PRESIDENT","GEORGE W. BUSH","REPUBLICAN",2721,4586,20191203,"TOTAL"
"111",2000,"NEW MEXICO","NM","SIERRA","35051","PRESIDENT","RALPH NADER","GREEN",132,4586,20191203,"TOTAL"
"112",2000,"NEW MEXICO","NM","SIERRA","35051","PRESIDENT","OTHER","OTHER",44,4586,20191203,"TOTAL"
"113",2000,"NEW MEXICO","NM","SOCORRO","35053","PRESIDENT","AL GORE","DEMOCRAT",3294,6826,20191203,"TOTAL"
"114",2000,"NEW MEXICO","NM","SOCORRO","35053","PRESIDENT","GEORGE W. BUSH","REPUBLICAN",3173,6826,20191203,"TOTAL"
"115",2000,"NEW MEXICO","NM","SOCORRO","35053","PRESIDENT","RALPH NADER","GREEN",279,6826,20191203,"TOTAL"
"116",2000,"NEW MEXICO","NM","SOCORRO","35053","PRESIDENT","OTHER","OTHER",80,6826,20191203,"TOTAL"
"117",2000,"NEW MEXICO","NM","TAOS","35055","PRESIDENT","AL GORE","DEMOCRAT",7039,10895,20191203,"TOTAL"
"118",2000,"NEW MEXICO","NM","TAOS","35055","PRESIDENT","GEORGE W. BUSH","REPUBLICAN",2744,10895,20191203,"TOTAL"
"119",2000,"NEW MEXICO","NM","TAOS","35055","PRESIDENT","RALPH NADER","GREEN",1064,10895,20191203,"TOTAL"
"120",2000,"NEW MEXICO","NM","TAOS","35055","PRESIDENT","OTHER","OTHER",48,10895,20191203,"TOTAL"
"121",2000,"NEW MEXICO","NM","TORRANCE","35057","PRESIDENT","AL GORE","DEMOCRAT",1868,4960,20191203,"TOTAL"
"122",2000,"NEW MEXICO","NM","TORRANCE","35057","PRESIDENT","GEORGE W. BUSH","REPUBLICAN",2891,4960,20191203,"TOTAL"
"123",2000,"NEW MEXICO","NM","TORRANCE","35057","PRESIDENT","RALPH NADER","GREEN",163,4960,20191203,"TOTAL"
"124",2000,"NEW MEXICO","NM","TORRANCE","35057","PRESIDENT","OTHER","OTHER",38,4960,20191203,"TOTAL"
"125",2000,"NEW MEXICO","NM","UNION","35059","PRESIDENT","AL GORE","DEMOCRAT",452,1755,20191203,"TOTAL"
"126",2000,"NEW MEXICO","NM","UNION","35059","PRESIDENT","GEORGE W. BUSH","REPUBLICAN",1269,1755,20191203,"TOTAL"
"127",2000,"NEW MEXICO","NM","UNION","35059","PRESIDENT","RALPH NADER","GREEN",19,1755,20191203,"TOTAL"
"128",2000,"NEW MEXICO","NM","UNION","35059","PRESIDENT","OTHER","OTHER",15,1755,20191203,"TOTAL"
"129",2000,"NEW MEXICO","NM","VALENCIA","35061","PRESIDENT","AL GORE","DEMOCRAT",9819,21377,20191203,"TOTAL"
"130",2000,"NEW MEXICO","NM","VALENCIA","35061","PRESIDENT","GEORGE W. BUSH","REPUBLICAN",10803,21377,20191203,"TOTAL"
"131",2000,"NEW MEXICO","NM","VALENCIA","35061","PRESIDENT","RALPH NADER","GREEN",615,21377,20191203,"TOTAL"
"132",2000,"NEW MEXICO","NM","VALENCIA","35061","PRESIDENT","OTHER","OTHER",140,21377,20191203,"TOTAL"
"133",2004,"NEW MEXICO","NM","BERNALILLO","35001","PRESIDENT","JOHN KERRY","DEMOCRAT",132252,256811,20191203,"TOTAL"
"134",2004,"NEW MEXICO","NM","BERNALILLO","35001","PRESIDENT","GEORGE W. BUSH","REPUBLICAN",121454,256811,20191203,"TOTAL"
"135",2004,"NEW MEXICO","NM","BERNALILLO","35001","PRESIDENT","OTHER","OTHER",3105,256811,20191203,"TOTAL"
"136",2004,"NEW MEXICO","NM","CATRON","35003","PRESIDENT","JOHN KERRY","DEMOCRAT",551,1993,20191203,"TOTAL"
"137",2004,"NEW MEXICO","NM","CATRON","35003","PRESIDENT","GEORGE W. BUSH","REPUBLICAN",1427,1993,20191203,"TOTAL"
"138",2004,"NEW MEXICO","NM","CATRON","35003","PRESIDENT","OTHER","OTHER",15,1993,20191203,"TOTAL"
"139",2004,"NEW MEXICO","NM","CHAVES","35005","PRESIDENT","JOHN KERRY","DEMOCRAT",6726,21705,20191203,"TOTAL"
"140",2004,"NEW MEXICO","NM","CHAVES","35005","PRESIDENT","GEORGE W. BUSH","REPUBLICAN",14773,21705,20191203,"TOTAL"
"141",2004,"NEW MEXICO","NM","CHAVES","35005","PRESIDENT","OTHER","OTHER",206,21705,20191203,"TOTAL"
"142",2004,"NEW MEXICO","NM","CIBOLA","35006","PRESIDENT","JOHN KERRY","DEMOCRAT",3913,7487,20191203,"TOTAL"
"143",2004,"NEW MEXICO","NM","CIBOLA","35006","PRESIDENT","GEORGE W. BUSH","REPUBLICAN",3477,7487,20191203,"TOTAL"
"144",2004,"NEW MEXICO","NM","CIBOLA","35006","PRESIDENT","OTHER","OTHER",97,7487,20191203,"TOTAL"
"145",2004,"NEW MEXICO","NM","COLFAX","35007","PRESIDENT","JOHN KERRY","DEMOCRAT",2824,5968,20191203,"TOTAL"
"146",2004,"NEW MEXICO","NM","COLFAX","35007","PRESIDENT","GEORGE W. BUSH","REPUBLICAN",3082,5968,20191203,"TOTAL"
"147",2004,"NEW MEXICO","NM","COLFAX","35007","PRESIDENT","OTHER","OTHER",62,5968,20191203,"TOTAL"
"148",2004,"NEW MEXICO","NM","CURRY","35009","PRESIDENT","JOHN KERRY","DEMOCRAT",3541,14286,20191203,"TOTAL"
"149",2004,"NEW MEXICO","NM","CURRY","35009","PRESIDENT","GEORGE W. BUSH","REPUBLICAN",10649,14286,20191203,"TOTAL"
"150",2004,"NEW MEXICO","NM","CURRY","35009","PRESIDENT","OTHER","OTHER",96,14286,20191203,"TOTAL"
"151",2004,"NEW MEXICO","NM","DE BACA","35011","PRESIDENT","JOHN KERRY","DEMOCRAT",281,993,20191203,"TOTAL"
"152",2004,"NEW MEXICO","NM","DE BACA","35011","PRESIDENT","GEORGE W. BUSH","REPUBLICAN",706,993,20191203,"TOTAL"
"153",2004,"NEW MEXICO","NM","DE BACA","35011","PRESIDENT","OTHER","OTHER",6,993,20191203,"TOTAL"
"154",2004,"NEW MEXICO","NM","DONA ANA","35013","PRESIDENT","JOHN KERRY","DEMOCRAT",31762,61960,20191203,"TOTAL"
"155",2004,"NEW MEXICO","NM","DONA ANA","35013","PRESIDENT","GEORGE W. BUSH","REPUBLICAN",29548,61960,20191203,"TOTAL"
"156",2004,"NEW MEXICO","NM","DONA ANA","35013","PRESIDENT","OTHER","OTHER",650,61960,20191203,"TOTAL"
"157",2004,"NEW MEXICO","NM","EDDY","35015","PRESIDENT","JOHN KERRY","DEMOCRAT",6880,20270,20191203,"TOTAL"
"158",2004,"NEW MEXICO","NM","EDDY","35015","PRESIDENT","GEORGE W. BUSH","REPUBLICAN",13268,20270,20191203,"TOTAL"
"159",2004,"NEW MEXICO","NM","EDDY","35015","PRESIDENT","OTHER","OTHER",122,20270,20191203,"TOTAL"
"160",2004,"NEW MEXICO","NM","GRANT","35017","PRESIDENT","JOHN KERRY","DEMOCRAT",7095,13392,20191203,"TOTAL"
"161",2004,"NEW MEXICO","NM","GRANT","35017","PRESIDENT","GEORGE W. BUSH","REPUBLICAN",6135,13392,20191203,"TOTAL"
"162",2004,"NEW MEXICO","NM","GRANT","35017","PRESIDENT","OTHER","OTHER",162,13392,20191203,"TOTAL"
"163",2004,"NEW MEXICO","NM","GUADALUPE","35019","PRESIDENT","JOHN KERRY","DEMOCRAT",1340,2267,20191203,"TOTAL"
"164",2004,"NEW MEXICO","NM","GUADALUPE","35019","PRESIDENT","GEORGE W. BUSH","REPUBLICAN",914,2267,20191203,"TOTAL"
"165",2004,"NEW MEXICO","NM","GUADALUPE","35019","PRESIDENT","OTHER","OTHER",13,2267,20191203,"TOTAL"
"166",2004,"NEW MEXICO","NM","HARDING","35021","PRESIDENT","JOHN KERRY","DEMOCRAT",259,644,20191203,"TOTAL"
"167",2004,"NEW MEXICO","NM","HARDING","35021","PRESIDENT","GEORGE W. BUSH","REPUBLICAN",380,644,20191203,"TOTAL"
"168",2004,"NEW MEXICO","NM","HARDING","35021","PRESIDENT","OTHER","OTHER",5,644,20191203,"TOTAL"
"169",2004,"NEW MEXICO","NM","HIDALGO","35023","PRESIDENT","JOHN KERRY","DEMOCRAT",861,1964,20191203,"TOTAL"
"170",2004,"NEW MEXICO","NM","HIDALGO","35023","PRESIDENT","GEORGE W. BUSH","REPUBLICAN",1081,1964,20191203,"TOTAL"
"171",2004,"NEW MEXICO","NM","HIDALGO","35023","PRESIDENT","OTHER","OTHER",22,1964,20191203,"TOTAL"
"172",2004,"NEW MEXICO","NM","LEA","35025","PRESIDENT","JOHN KERRY","DEMOCRAT",3646,18181,20191203,"TOTAL"
"173",2004,"NEW MEXICO","NM","LEA","35025","PRESIDENT","GEORGE W. BUSH","REPUBLICAN",14430,18181,20191203,"TOTAL"
